Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-May-2021 16:02:05
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
2.100000e-01     3.665191e-05     2.100000e-01     1.000000e-02     -2.185422e-01    4.276931e-06     2.185422e-01     4.276922e-06     2.661751e-01     1.175100e-06     -2.661751e-01    1.175088e-06     -2.543788e-11    2.072414e-07     -1.656348e+04    5.568298e-12     -1.567171e+04    4.194779e-12     -1.750654e+04    3.198162e-12     -1.064188e-12    6.222323e-13     7.362340e-15     2.336875e-13     1.119491e-13     3.786038e-15     1.637681e-15     -6.257287e-16    -1.242386e-13    -1.145467e-14    9.377233e-14     -2.530816e-13    
2.200000e-01     3.839724e-05     2.200000e-01     1.000000e-02     2.278354e-01     5.315621e-06     -2.278354e-01    5.315619e-06     -2.800690e-01    1.424002e-06     2.800690e-01     1.424001e-06     2.458983e-07     5.998541e-11     1.656348e+04     4.020626e-11     1.567173e+04     1.380196e-11     -1.567173e+04    1.282714e-11     -5.185537e-13    3.222471e-13     -1.092079e-13    2.262101e-13     -4.685627e-14    9.424369e-14     -9.092610e-16    8.904286e-16     3.016210e-14     -1.001123e-13    8.796109e-13     -8.899074e-13    
2.300000e-01     4.014257e-05     2.300000e-01     1.000000e-02     2.370481e-01     6.383696e-06     -2.370481e-01    6.383687e-06     -2.940755e-01    1.657287e-06     2.940755e-01     1.657284e-06     -1.656348e+04    1.984828e-10     -2.450154e-07    5.706402e-11     1.567175e+04     1.572819e-11     -4.311821e-14    1.045930e-13     -8.007835e-15    8.909441e-15     1.456995e-14     -9.702922e-16    7.738992e-14     -1.156589e-13    3.149606e-13     -5.022703e-13    -1.506048e-12    -6.469272e-13    1.750657e+04     -3.256240e-12    
2.400000e-01     4.188790e-05     2.400000e-01     1.000000e-02     2.461917e-01     1.098417e-05     -2.461917e-01    1.098417e-05     3.081948e-01     1.856222e-06     -3.081948e-01    1.856218e-06     1.436488e-07     3.102264e-07     -1.656348e+04    1.364746e-10     -1.567178e+04    1.628619e-11     1.225929e-14     5.694551e-13     -5.259479e-14    1.163933e-13     -2.286093e-14    3.683376e-15     1.439154e-13     -1.306846e-13    1.880278e-14     -1.357161e-13    -1.855521e-13    -3.054320e-13    -1.750659e+04    -4.901977e-13    
2.500000e-01     4.363323e-05     2.500000e-01     1.000000e-02     2.552809e-01     2.834248e-05     -2.552809e-01    2.834247e-05     3.224272e-01     2.001505e-06     -3.224272e-01    2.001491e-06     6.181279e-11     1.714434e-07     1.656348e+04     1.629283e-10     1.750661e+04     2.692435e-11     1.567180e+04     2.084757e-11     8.829558e-14     1.514188e-13     -4.204433e-14    1.296548e-13     3.727274e-16     1.948846e-16     -7.986314e-15    -1.635053e-13    -3.809999e-13    -5.868367e-13    4.867710e-13     -7.698511e-13    
2.600000e-01     4.537856e-05     2.600000e-01     1.000000e-02     -2.643316e-01    7.662723e-05     2.643316e-01     7.662723e-05     3.367730e-01     2.074342e-06     -3.367730e-01    2.074336e-06     7.394915e-11     2.334496e-07     1.656348e+04     6.801082e-11     1.750663e+04     3.630278e-11     -1.750663e+04    2.826541e-11     -2.799657e-13    4.365536e-13     -2.816584e-14    1.712734e-13     -2.236093e-16    -1.229116e-16    -2.134493e-14    -6.414413e-14    1.701052e-13     -8.341865e-14    1.576458e-14     -1.933836e-13    
2.700000e-01     4.712389e-05     2.700000e-01     1.000000e-02     2.733559e-01     1.854614e-04     -2.733559e-01    1.854614e-04     3.512324e-01     2.057753e-06     -3.512324e-01    2.057740e-06     -2.371445e-07    3.647193e-10     1.656348e+04     2.621095e-10     1.750665e+04     3.323912e-11     2.606312e-13     1.314908e-13     -1.313553e-13    5.504567e-14     4.482184e-18     1.710780e-16     9.401972e-13     -1.160464e-14    3.465482e-14     -3.149308e-14    -1.260601e-13    -1.124867e-13    -1.750665e+04    -4.013289e-12    
2.800000e-01     4.886922e-05     2.800000e-01     1.000000e-02     -2.823559e-01    3.960269e-04     2.823559e-01     3.960269e-04     -3.658056e-01    1.937555e-06     3.658056e-01     1.937552e-06     1.467580e-07     4.134661e-07     1.656348e+04     1.312379e-10     1.567188e+04     9.045904e-12     1.750668e+04     6.333794e-12     1.347677e-13     7.164185e-14     -2.140568e-13    9.047070e-15     2.900432e-15     -3.217312e-16    -2.029012e-13    -8.356080e-14    2.055909e-13     -1.448556e-13    -1.248406e-12    -8.362404e-13    
2.900000e-01     5.061455e-05     2.900000e-01     1.000000e-02     2.913157e-01     7.569826e-04     -2.913157e-01    7.569826e-04     -3.804931e-01    1.703414e-06     3.804931e-01     1.703408e-06     -6.732024e-11    4.749161e-07     1.750670e+04     3.225728e-11     1.656348e+04     3.082617e-11     -1.750670e+04    1.912673e-11     2.961098e-12     1.057318e-12     -3.130706e-13    2.310326e-13     5.800448e-14     1.100822e-13     9.819330e-16     4.976509e-16     -1.330308e-13    -1.078502e-13    1.680942e-13     -1.876883e-13    
3.000000e-01     5.235988e-05     3.000000e-01     1.000000e-02     3.001966e-01     1.315384e-03     -3.001966e-01    1.315384e-03     3.952950e-01     1.349392e-06     -3.952950e-01    1.349385e-06     -1.132371e-10    5.264108e-07     1.656348e+04     2.938881e-10     1.750672e+04     2.503639e-11     1.567194e+04     1.989246e-11     1.366407e-13     2.475623e-13     -1.907830e-15    2.075830e-15     2.985181e-14     -1.169834e-15    -1.833615e-14    -8.851124e-14    -1.610858e-13    -1.678125e-13    4.445789e-14     -1.250311e-12    
