Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-Dec-2020 14:48:42
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
2.424871e-01     1.400000e-01     2.800000e-01     3.000000e+01     4.000330e-13     1.401802e-12     -1.584842e-13    6.541457e-14     -1.008861e-14    1.486509e-14     1.973649e-17     -3.587950e-17    8.159073e-14     -1.521182e-13    3.823781e-13     -2.221317e-12    -3.627396e+04    -3.230352e-09    3.627396e+04     -3.231745e-09    -3.443916e+04    -4.185718e-09    3.443916e+04     -4.187285e-09    -2.175147e-04    -1.067190e-07    2.175147e-04     -1.067232e-07    2.279135e-01     -1.678240e-04    -2.279135e-01    -1.678240e-04    
2.511474e-01     1.450000e-01     2.900000e-01     3.000000e+01     -2.073079e-12    1.597843e-12     1.039216e-15     3.293895e-15     4.394539e-17     3.877342e-17     -7.133081e-15    -9.371325e-14    -6.016887e-13    -1.067175e-13    5.760547e-12     -1.983544e-12    -3.627401e+04    -3.838617e-09    3.627401e+04     -3.850441e-09    -3.443921e+04    -4.988939e-09    3.443921e+04     -5.000008e-09    2.333350e-04     -1.185717e-07    -2.333350e-04    -1.185752e-07    -2.347369e-01    -1.364973e-04    2.347369e-01     -1.364973e-04    
2.598076e-01     1.500000e-01     3.000000e-01     3.000000e+01     5.456521e-12     5.665113e-12     -1.506457e-13    4.152859e-13     2.824590e-18     8.592707e-18     -4.247000e-16    -3.640791e-15    -1.021553e-14    -1.039691e-13    3.509453e-13     -7.833373e-13    3.627406e+04     -4.551005e-09    -3.627406e+04    -4.557556e-09    3.443926e+04     -5.912689e-09    -3.443926e+04    -5.920040e-09    -2.497112e-04    -1.312732e-07    2.497112e-04     -1.312734e-07    2.414394e-01     -9.818413e-05    -2.414394e-01    -9.818413e-05    
2.684679e-01     1.550000e-01     3.100000e-01     3.000000e+01     7.396196e-13     3.209952e-12     8.598749e-14     3.698114e-14     5.167824e-17     -3.319057e-17    1.415819e-14     -4.577684e-17    -2.817941e-13    -2.576077e-13    5.427237e-12     -2.218424e-12    3.627411e+04     -5.359790e-09    -3.627411e+04    -5.367702e-09    3.443932e+04     -6.968846e-09    -3.443932e+04    -6.976871e-09    -2.666435e-04    -1.448492e-07    2.666435e-04     -1.448499e-07    -2.480167e-01    -5.355513e-05    2.480167e-01     -5.355513e-05    
2.771281e-01     1.600000e-01     3.200000e-01     3.000000e+01     3.870648e-12     5.483103e-12     -3.394070e-13    2.207010e-13     2.811557e-13     1.634340e-13     2.776409e-12     8.495608e-14     -5.727691e-15    2.015825e-15     3.351088e-18     -4.893284e-17    3.627416e+04     -6.271644e-09    -3.627416e+04    -6.287321e-09    3.443937e+04     -8.169170e-09    -3.443937e+04    -8.187442e-09    2.841319e-04     -1.593298e-07    -2.841319e-04    -1.593344e-07    -2.544641e-01    -3.816516e-06    2.544641e-01     -3.816517e-06    
2.857884e-01     1.650000e-01     3.300000e-01     3.000000e+01     -2.607770e-01    4.919918e-05     2.607770e-01     4.919918e-05     2.163381e-12     8.356899e-12     2.367974e-14     2.925494e-15     5.049532e-17     9.006398e-18     -4.348399e-14    -7.494884e-14    -4.014701e-13    -2.018638e-13    -3.539277e-13    -1.703063e-12    3.627421e+04     -7.323393e-09    -3.627421e+04    -7.328083e-09    3.443943e+04     -9.533652e-09    -3.443943e+04    -9.538545e-09    3.021765e-04     -1.747507e-07    -3.021765e-04    -1.747512e-07    
2.944486e-01     1.700000e-01     3.400000e-01     3.000000e+01     2.669503e-01     1.029503e-04     -2.669503e-01    1.029503e-04     -1.217464e-12    9.673594e-13     1.200303e-15     5.012261e-15     5.726069e-17     3.717288e-17     -8.422196e-14    -5.225986e-14    8.481396e-13     -1.757337e-13    -1.245298e-12    -8.642036e-12    3.627426e+04     -8.512912e-09    -3.627426e+04    -8.520993e-09    3.443949e+04     -1.105462e-08    -3.443949e+04    -1.106265e-08    -3.207774e-04    -1.911263e-07    3.207774e-04     -1.911357e-07    
3.031089e-01     1.750000e-01     3.500000e-01     3.000000e+01     2.729792e-01     1.541185e-04     -2.729792e-01    1.541185e-04     2.524814e-12     2.347363e-12     -4.066959e-14    1.389606e-13     -3.861868e-18    6.815159e-18     -1.135682e-14    -6.733089e-15    1.356378e-12     -1.878306e-13    -3.852428e-12    -1.414682e-12    3.627432e+04     -9.834973e-09    -3.627432e+04    -9.835062e-09    3.443955e+04     -1.279403e-08    -3.443955e+04    -1.279436e-08    -3.399347e-04    -2.085028e-07    3.399347e-04     -2.085094e-07    
3.117691e-01     1.800000e-01     3.600000e-01     3.000000e+01     -2.788588e-01    1.985631e-04     2.788588e-01     1.985631e-04     1.500498e-12     2.595847e-12     -8.739375e-13    8.434805e-13     1.544552e-14     2.774601e-14     2.119652e-17     1.596968e-17     1.177933e-13     -4.967583e-15    4.181163e-13     -7.868565e-13    3.627437e+04     -1.131726e-08    -3.627437e+04    -1.132054e-08    3.443961e+04     -1.473033e-08    -3.443961e+04    -1.473404e-08    3.596486e-04     -2.269012e-07    -3.596486e-04    -2.269021e-07    
3.204294e-01     1.850000e-01     3.700000e-01     3.000000e+01     -2.845846e-01    2.313048e-04     2.845846e-01     2.313048e-04     3.437391e-13     1.003389e-12     -1.436616e-14    1.880012e-14     1.956218e-18     1.817483e-17     4.913447e-14     -4.782294e-14    -3.068124e-13    -1.015469e-13    -1.552006e-12    -3.818066e-12    3.627443e+04     -1.297949e-08    -3.627443e+04    -1.298918e-08    3.443968e+04     -1.688554e-08    -3.443968e+04    -1.689607e-08    3.799191e-04     -2.463542e-07    -3.799191e-04    -2.463546e-07    
3.290897e-01     1.900000e-01     3.800000e-01     3.000000e+01     -2.901525e-01    2.465447e-04     2.901525e-01     2.465447e-04     -3.050948e-13    1.995319e-12     1.897017e-13     1.314970e-13     -2.520089e-18    -1.398214e-17    6.426378e-16     -4.642583e-15    2.037098e-13     -1.393604e-13    5.074436e-12     -5.522827e-13    3.627449e+04     -1.482730e-08    -3.627449e+04    -1.483199e-08    3.443974e+04     -1.930348e-08    -3.443974e+04    -1.930851e-08    4.007463e-04     -2.668880e-07    -4.007463e-04    -2.668882e-07    
3.377499e-01     1.950000e-01     3.900000e-01     3.000000e+01     2.955590e-01     2.377200e-04     -2.955590e-01    2.377200e-04     4.749442e-13     3.580484e-13     5.885352e-14     7.665613e-14     7.764374e-17     -1.315477e-17    2.646364e-15     -2.766985e-15    1.988591e-12     -6.004278e-13    -4.545261e-13    -1.100578e-12    3.627455e+04     -1.688026e-08    -3.627455e+04    -1.688600e-08    3.443981e+04     -2.198301e-08    -3.443981e+04    -2.198992e-08    4.221303e-04     -2.885324e-07    -4.221303e-04    -2.885328e-07    
