Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-Dec-2020 14:50:20
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
1.818653e-01     1.050000e-01     2.100000e-01     3.000000e+01     3.443886e+04     5.572804e-13     -3.627369e+04    5.300458e-13     2.296595e-01     3.142550e-13     -1.766194e-01    1.768975e-13     -3.534408e+04    3.235759e-14     1.028698e-01     3.207357e-14     -3.658772e-18    -9.312209e-20    2.261160e-18     -2.538632e-19    -1.028698e-01    -3.207360e-14    3.534408e+04     -3.235759e-14    1.766194e-01     -1.768979e-13    -2.296595e-01    -3.142550e-13    3.627369e+04     -5.300458e-13    -3.443886e+04    -5.572804e-13    
1.905256e-01     1.100000e-01     2.200000e-01     3.000000e+01     3.443889e+04     5.429171e-13     -3.627372e+04    5.157668e-13     -1.845844e-01    3.322336e-13     2.412811e-01     2.265077e-13     -1.077212e-01    1.177340e-13     3.534409e+04     2.706320e-14     1.051448e-33     2.220899e-34     6.316849e-18     -1.184084e-18    -3.534409e+04    -2.706320e-14    1.077212e-01     -1.177341e-13    -2.412811e-01    -2.265077e-13    1.845844e-01     -3.322351e-13    3.627372e+04     -5.157668e-13    -3.443889e+04    -5.429171e-13    
1.991858e-01     1.150000e-01     2.300000e-01     3.000000e+01     3.443893e+04     1.031953e-12     -3.627376e+04    9.803230e-13     2.529856e-01     6.276242e-13     -1.925000e-01    5.876032e-13     -3.534410e+04    4.532032e-14     -1.125660e-01    2.314419e-14     3.239666e-17     -3.172599e-19    -7.380145e-18    -5.685817e-19    1.125660e-01     -2.314427e-14    3.534410e+04     -4.532032e-14    1.925000e-01     -5.876042e-13    -2.529856e-01    -6.276242e-13    3.627376e+04     -9.803230e-13    -3.443893e+04    -1.031953e-12    
2.078461e-01     1.200000e-01     2.400000e-01     3.000000e+01     3.443898e+04     5.789461e-13     -3.627380e+04    5.495793e-13     -2.003659e-01    3.822736e-13     2.647749e-01     2.677850e-13     1.174039e-01     3.827197e-14     3.534411e+04     5.179698e-16     1.211360e-16     -4.522474e-19    -1.246288e-17    -6.802410e-19    -3.534411e+04    -5.179698e-16    -1.174039e-01    -3.827208e-14    -2.647749e-01    -2.677851e-13    2.003659e-01     -3.822749e-13    3.627380e+04     -5.495793e-13    -3.443898e+04    -5.789461e-13    
2.165064e-01     1.250000e-01     2.500000e-01     3.000000e+01     3.443902e+04     5.260096e-13     -3.627384e+04    4.999895e-13     2.766504e-01     3.651535e-13     -2.081818e-01    2.540566e-13     -3.534412e+04    4.283258e-14     1.222346e-01     1.615378e-14     1.498046e-17     5.872112e-19     3.470016e-15     4.630684e-19     -1.222346e-01    -1.615368e-14    3.534412e+04     -4.283258e-14    2.081818e-01     -2.540554e-13    -2.766504e-01    -3.651534e-13    3.627384e+04     -4.999895e-13    -3.443902e+04    -5.260096e-13    
2.251666e-01     1.300000e-01     2.600000e-01     3.000000e+01     3.443906e+04     5.745615e-13     -3.627388e+04    5.453283e-13     2.886138e-01     3.735054e-13     -2.159479e-01    2.804403e-13     -1.270577e-01    7.512065e-14     -3.534413e+04    1.171527e-14     9.849138e-18     1.039025e-18     1.620313e-15     8.619930e-19     3.534413e+04     -1.171527e-14    1.270577e-01     -7.512045e-14    2.159479e-01     -2.804383e-13    -2.886138e-01    -3.735053e-13    3.627388e+04     -5.453283e-13    -3.443906e+04    -5.745615e-13    
2.338269e-01     1.350000e-01     2.700000e-01     3.000000e+01     3.443911e+04     5.715469e-13     -3.627392e+04    5.431274e-13     3.006664e-01     3.390002e-13     -2.236642e-01    2.333498e-13     1.318729e-01     2.046335e-14     -3.534415e+04    1.901126e-14     1.195609e-33     -1.189763e-34    -3.440470e-18    -7.151521e-19    3.534415e+04     -1.901126e-14    -1.318729e-01    -2.046343e-14    2.236642e-01     -2.333505e-13    -3.006664e-01    -3.390002e-13    3.627392e+04     -5.431274e-13    -3.443911e+04    -5.715469e-13    
2.424871e-01     1.400000e-01     2.800000e-01     3.000000e+01     3.443916e+04     5.413304e-13     -3.627396e+04    5.127540e-13     -2.313308e-01    4.257861e-13     3.128097e-01     3.059031e-13     -1.366800e-01    2.814893e-14     -3.534416e+04    2.666334e-14     1.805679e-18     2.423871e-19     1.013822e-15     2.183304e-19     3.534416e+04     -2.666334e-14    1.366800e-01     -2.814888e-14    -3.128097e-01    -3.059031e-13    2.313308e-01     -4.257857e-13    3.627396e+04     -5.127540e-13    -3.443916e+04    -5.413304e-13    
2.511474e-01     1.450000e-01     2.900000e-01     3.000000e+01     3.443921e+04     5.136515e-13     -3.627401e+04    4.863856e-13     3.250450e-01     2.434936e-13     -2.389478e-01    1.225819e-13     3.534417e+04     1.071724e-13     -1.414786e-01    6.192096e-15     1.353567e-17     7.698197e-17     1.554971e-17     -6.735125e-17    1.414786e-01     -6.193321e-15    -3.534417e+04    -1.071724e-13    2.389478e-01     -1.225720e-13    -3.250450e-01    -2.434901e-13    3.627401e+04     -4.863856e-13    -3.443921e+04    -5.136515e-13    
2.598076e-01     1.500000e-01     3.000000e-01     3.000000e+01     3.443926e+04     5.638224e-13     -3.627406e+04    5.348531e-13     3.373734e-01     4.148442e-13     -2.465155e-01    1.182370e-13     1.462683e-01     6.658105e-14     3.534419e+04     4.316185e-15     -2.879137e-17    8.489085e-17     -1.927106e-17    -7.479191e-17    -3.534419e+04    -4.316185e-15    -1.462683e-01    -6.658338e-14    2.465155e-01     -1.182300e-13    -3.373734e-01    -4.148398e-13    3.627406e+04     -5.348531e-13    -3.443926e+04    -5.638224e-13    
2.684679e-01     1.550000e-01     3.100000e-01     3.000000e+01     -2.540344e-01    2.989762e-13     -3.534420e+04    9.439824e-14     -3.497962e-01    4.412428e-14     3.443932e+04     4.410567e-14     -3.627411e+04    4.242067e-14     -1.510490e-01    4.142752e-15     2.908896e-18     3.242468e-18     -1.264349e-27    -1.049703e-27    1.510490e-01     -4.142614e-15    3.627411e+04     -4.242067e-14    -3.443932e+04    -4.410567e-14    3.497962e-01     -4.412423e-14    3.534420e+04     -9.439824e-14    2.540344e-01     -2.989753e-13    
2.771281e-01     1.600000e-01     3.200000e-01     3.000000e+01     -2.615046e-01    2.076084e-13     -3.534422e+04    9.441919e-14     3.443937e+04     4.096982e-14     -3.627416e+04    3.890421e-14     1.558202e-01     2.404919e-14     -3.623146e-01    2.121465e-14     1.401664e-18     2.287863e-18     -2.332239e-27    -1.171453e-27    3.623146e-01     -2.121461e-14    -1.558202e-01    -2.404909e-14    3.627416e+04     -3.890421e-14    -3.443937e+04    -4.096982e-14    3.534422e+04     -9.441919e-14    2.615046e-01     -2.076078e-13    
2.857884e-01     1.650000e-01     3.300000e-01     3.000000e+01     -2.689266e-01    4.700061e-13     -3.749294e-01    1.112531e-13     3.443943e+04     4.307120e-14     -3.627421e+04    4.121014e-14     -3.534423e+04    2.492703e-14     -1.605816e-01    2.464412e-14     1.159678e-15     5.790505e-19     9.353215e-20     2.806621e-19     1.605816e-01     -2.464408e-14    3.534423e+04     -2.492703e-14    3.627421e+04     -4.121014e-14    -3.443943e+04    -4.307120e-14    3.749294e-01     -1.112531e-13    2.689266e-01     -4.700059e-13    
