Below are the first nkwall=min(nw,4*S+6)=22 solutions from BO, sorted by imag part, at 24-Dec-2020 22:24:40
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  Re(omega19[wn])  Im(omega19[wn])  Re(omega20[wn])  Im(omega20[wn])  Re(omega21[wn])  Im(omega21[wn])  Re(omega22[wn])  Im(omega22[wn])  
5.416443e-01     9.550650e-02     5.500000e-01     1.000000e+01     5.942274e-01     4.001387e-01     2.799536e-02     1.501077e-01     1.142162e-03     1.166299e-12     1.813119e+00     8.338012e-13     3.774806e-01     4.972019e-13     1.186231e+00     1.354140e-13     -2.855179e+04    1.000312e-13     5.857469e-01     7.839209e-14     3.038649e+04     4.779821e-14     2.945303e+04     5.504805e-16     -2.945290e+04    -4.873754e-16    -1.864569e-03    -4.651180e-15    1.403713e-15     -1.657560e-14    -3.038647e+04    -4.812789e-14    1.861941e-03     -7.174261e-14    2.855180e+04     -9.870517e-14    -4.542978e-01    -2.228465e-13    8.309266e-12     -4.543953e-13    -6.465381e-01    -4.566705e-13    -5.710376e-01    -9.092752e-13    2.799536e-02     -1.501077e-01    5.942274e-01     -4.001387e-01    
5.662645e-01     9.984770e-02     5.750000e-01     1.000000e+01     6.273731e-01     4.073460e-01     2.658628e-02     1.494243e-01     3.039936e-02     2.300304e-12     1.851359e+00     6.346555e-13     1.232608e+00     3.878940e-13     3.860277e-01     1.338702e-13     -1.144409e-12    4.430994e-14     3.038666e+04     3.304489e-14     -9.123917e-14    2.682640e-14     -2.855198e+04    1.882800e-14     -6.485264e-01    3.072776e-15     2.945304e+04     3.365740e-16     -1.948851e-03    -1.062474e-16    -2.945290e+04    -6.693444e-16    1.948859e-03     -9.008518e-16    2.855199e+04     -1.570071e-14    -3.038663e+04    -3.696404e-14    5.908427e-01     -9.172935e-14    -4.538142e-01    -9.965191e-14    -5.997847e-01    -3.569686e-13    2.658628e-02     -1.494243e-01    6.273731e-01     -4.073460e-01    
5.908847e-01     1.041889e-01     6.000000e-01     1.000000e+01     6.609442e-01     4.144803e-01     2.390612e-02     1.491331e-01     -6.515810e-01    3.408334e-13     -4.538467e-01    1.608533e-13     -2.855217e+04    4.318002e-14     3.038683e+04     1.716022e-14     -1.171187e-13    3.118694e-15     -1.655939e-14    2.632863e-15     2.033563e-03     1.573595e-15     2.945305e+04     -4.098723e-18    -2.945290e+04    -8.287121e-17    -2.033560e-03    -1.301087e-15    -3.038681e+04    -1.500259e-14    -6.287315e-01    -4.262489e-14    2.855219e+04     -4.477221e-14    5.960964e-01     -6.695575e-14    3.938112e-01     -2.303356e-13    6.354843e-02     -4.937024e-13    1.279135e+00     -5.564831e-13    1.889638e+00     -7.576618e-13    2.390612e-02     -1.491331e-01    6.609442e-01     -4.144803e-01    
6.155048e-01     1.085301e-01     6.250000e-01     1.000000e+01     6.949421e-01     4.215615e-01     2.060535e-02     1.499011e-01     1.927952e+00     7.893723e-13     -6.494558e-01    4.559581e-13     3.038702e+04     5.381633e-14     -4.542886e-01    2.905356e-14     -2.855238e+04    2.297075e-14     -2.118286e-03    5.127999e-16     2.945306e+04     5.118880e-16     1.529227e-14     -3.021410e-16    -2.945291e+04    -5.632924e-16    2.118287e-03     -1.255499e-15    -7.667238e-13    -2.937316e-15    2.855239e+04     -2.518686e-14    6.014475e-01     -5.073262e-14    -3.038699e+04    -5.103012e-14    4.008753e-01     -7.725580e-14    -6.640414e-01    -2.961823e-13    1.325824e+00     -1.064574e-12    9.910223e-02     -2.996338e-12    2.060535e-02     -1.499011e-01    6.949421e-01     -4.215615e-01    
6.401250e-01     1.128713e-01     6.500000e-01     1.000000e+01     7.293640e-01     4.286094e-01     1.749904e-02     1.516467e-01     -6.543360e-01    1.149194e-12     1.966298e+00     4.275190e-13     -4.550443e-01    2.163462e-13     -6.934655e-01    1.842461e-13     3.038720e+04     5.258869e-14     1.372687e+00     3.802482e-14     -2.855259e+04    7.441220e-15     2.203016e-03     1.189961e-15     1.690694e-12     3.920762e-17     2.945307e+04     2.290955e-17     -2.945291e+04    -4.213103e-16    -2.203015e-03    -1.841378e-15    2.855261e+04     -8.069146e-15    6.460446e-14     -2.082743e-14    -3.038718e+04    -5.203153e-14    4.072591e-01     -4.084973e-13    6.068437e-01     -5.813172e-13    1.352833e-01     -1.731172e-12    1.749904e-02     -1.516467e-01    7.293640e-01     -4.286094e-01    
6.647452e-01     1.172125e-01     6.750000e-01     1.000000e+01     7.642026e-01     4.356427e-01     1.493881e-02     1.539103e-01     2.004673e+00     2.667615e-12     1.419733e+00     1.247671e-12     6.122425e-01     7.064210e-14     -3.038737e+04    4.125248e-14     2.855283e+04     2.319608e-14     -5.978873e-14    1.166161e-14     8.518306e-14     5.884160e-15     2.287748e-03     7.326714e-16     -2.945291e+04    2.758510e-16     2.945308e+04     -2.995229e-16    -2.287747e-03    -1.486425e-15    -4.560329e-01    -2.187436e-14    -2.855282e+04    -2.738506e-14    3.038740e+04     -3.728643e-14    4.129913e-01     -5.743555e-14    -6.577852e-01    -1.200671e-13    -7.253894e-01    -1.468901e-13    1.712775e-01     -4.215603e-12    1.493881e-02     -1.539103e-01    7.642026e-01     -4.356427e-01    
6.893654e-01     1.215537e-01     7.000000e-01     1.000000e+01     7.994467e-01     4.426771e-01     1.292129e-02     1.563314e-01     6.176113e-01     5.842165e-13     4.180828e-01     3.815264e-13     2.043074e+00     2.769774e-13     1.466971e+00     2.581458e-13     2.070203e-01     2.032742e-13     3.038761e+04     2.977289e-14     -2.855305e+04    2.645396e-14     2.945309e+04     5.294034e-16     -2.372481e-03    2.895093e-16     -2.594239e-13    -2.014318e-16    -2.945292e+04    -5.743033e-16    2.372481e-03     -1.650423e-15    3.985552e-14     -2.272883e-14    2.855306e+04     -2.623393e-14    -3.038758e+04    -3.092777e-14    -4.571879e-01    -1.492953e-13    -7.583479e-01    -2.145824e-13    -6.612266e-01    -6.132254e-13    1.292129e-02     -1.563314e-01    7.994467e-01     -4.426771e-01    
7.139856e-01     1.258949e-01     7.250000e-01     1.000000e+01     8.350822e-01     4.497249e-01     1.133829e-02     1.587200e-01     1.514410e+00     1.762443e-12     2.081499e+00     1.503485e-12     -7.921783e-01    3.608599e-13     6.229254e-01     3.029450e-13     -2.855329e+04    1.068896e-13     3.038782e+04     1.062293e-13     4.225123e-01     3.780411e-14     2.457216e-03     3.514631e-16     2.945310e+04     2.693391e-16     -2.945292e+04    -3.726307e-16    -2.457215e-03    -1.309012e-15    3.050654e-13     -2.440638e-15    -4.584561e-01    -5.096044e-15    2.544898e-14     -1.589953e-14    -3.038779e+04    -1.057599e-13    2.855330e+04     -1.062478e-13    -6.647874e-01    -3.152224e-13    2.427069e-01     -2.306302e-12    1.133829e-02     -1.587200e-01    8.350822e-01     -4.497249e-01    
7.386058e-01     1.302361e-01     7.500000e-01     1.000000e+01     8.710928e-01     4.567943e-01     1.008209e-02     1.609923e-01     2.119945e+00     1.099301e-12     3.038804e+04     1.412224e-13     -2.855353e+04    9.921493e-14     6.281655e-01     8.399687e-14     1.562061e+00     4.586595e-14     -8.268374e-01    4.040491e-14     4.261934e-01     1.942598e-14     -3.704624e-14    1.789807e-14     -4.597952e-01    4.936096e-15     5.096621e-13     1.884211e-15     2.945311e+04     1.548911e-15     2.541951e-03     5.488401e-16     -2.541950e-03    -2.173223e-16    -2.945293e+04    -1.558906e-15    2.855355e+04     -9.525984e-14    -3.038801e+04    -1.446943e-13    -6.684805e-01    -2.103610e-13    2.786115e-01     -2.374282e-12    1.008209e-02     -1.609923e-01    8.710928e-01     -4.567943e-01    
7.632260e-01     1.345773e-01     7.750000e-01     1.000000e+01     9.074615e-01     4.638897e-01     9.068718e-03     1.631179e-01     -6.722965e-01    3.774633e-13     3.151347e-01     2.769442e-13     -2.855379e+04    7.339777e-14     4.288785e-01     5.058093e-14     3.038826e+04     3.594068e-14     2.945312e+04     1.331872e-15     2.626686e-03     5.929897e-16     -2.626686e-03    2.053844e-16     -2.945293e+04    -2.706353e-16    9.597683e-15     -9.658254e-16    -1.713225e-12    -2.079917e-15    -3.038823e+04    -3.757137e-14    -4.611724e-01    -6.925506e-14    2.855381e+04     -7.281361e-14    2.158412e+00     -8.190442e-14    6.333144e-01     -3.686209e-13    1.609931e+00     -5.954929e-13    -8.623084e-01    -9.744443e-13    9.068718e-03     -1.631179e-01    9.074615e-01     -4.638897e-01    
