Below are the first nkwall=min(nw,4*S+6)=22 solutions from BO, sorted by imag part, at 24-Dec-2020 22:26:50
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  Re(omega19[wn])  Im(omega19[wn])  Re(omega20[wn])  Im(omega20[wn])  Re(omega21[wn])  Im(omega21[wn])  Re(omega22[wn])  Im(omega22[wn])  
5.416443e-01     9.550650e-02     5.500000e-01     1.000000e+01     5.941105e-01     3.997078e-01     2.806756e-02     1.495314e-01     3.774632e-01     1.479261e-05     1.812733e+00     5.563119e-06     5.857550e-01     5.275907e-07     6.790877e-07     3.738263e-08     -2.401682e-09    2.816419e-09     -1.722156e-14    1.028207e-13     -1.509556e-16    1.145193e-16     1.797128e-17     1.224157e-17     -2.807479e-20    7.428605e-21     2.511616e-18     -1.402961e-17    6.908506e-16     -2.107923e-15    9.468321e-15     -1.153905e-14    -3.248596e-14    -3.518851e-14    -9.415730e-13    -3.159859e-13    3.808088e-12     -2.058984e-12    1.450908e-10     -5.018333e-11    3.038649e+04     -1.157611e-09    2.855180e+04     -1.642142e-09    -3.038647e+04    -2.349715e-09    -2.855179e+04    -3.182612e-09    
5.662645e-01     9.984770e-02     5.750000e-01     1.000000e+01     6.272556e-01     4.068945e-01     2.665260e-02     1.488003e-01     3.860070e-01     1.455036e-05     1.850937e+00     7.895883e-06     5.908481e-01     1.677486e-06     7.460225e-07     1.099667e-07     -3.152112e-10    1.677487e-10     9.191393e-14     4.256463e-13     -1.072397e-17    1.817575e-17     1.257656e-20     -3.331245e-20    3.371839e-17     -8.073222e-18    -1.397486e-16    -5.887816e-17    -5.149252e-16    -2.738721e-16    -1.366414e-14    -4.910451e-15    -5.325208e-14    -2.314195e-14    1.878215e-13     -2.389007e-13    1.702130e-13     -3.482926e-13    5.757898e-11     -2.548875e-11    3.038666e+04     -1.479676e-09    2.855199e+04     -2.083521e-09    -3.038663e+04    -2.894299e-09    -2.855198e+04    -3.914264e-09    
5.908847e-01     1.041889e-01     6.000000e-01     1.000000e+01     6.608266e-01     4.140081e-01     2.395162e-02     1.484694e-01     6.370684e-02     6.580113e-05     3.937867e-01     1.389339e-05     1.889177e+00     1.068861e-05     5.960987e-01     3.377735e-06     7.430882e-07     1.466530e-07     -6.727188e-13    7.736692e-13     2.214357e-14     8.100777e-15     -1.481668e-17    1.075127e-16     -4.377016e-17    2.478243e-17     1.320436e-17     1.214986e-17     2.463570e-20     2.091215e-20     -2.364692e-14    -6.841013e-15    7.064073e-15     -7.169116e-15    1.621495e-12     -6.643039e-14    1.013626e-13     -2.040560e-13    4.134841e-12     -7.971921e-12    1.578868e-10     -1.390558e-10    3.038683e+04     -1.857950e-09    2.855219e+04     -2.619533e-09    -3.038681e+04    -3.539377e-09    
6.155048e-01     1.085301e-01     6.250000e-01     1.000000e+01     6.948251e-01     4.210686e-01     2.062826e-02     1.492150e-01     9.926540e-02     1.007659e-04     1.927450e+00     1.396976e-05     4.008464e-01     1.287074e-05     6.014463e-01     5.532808e-06     -3.944727e-07    1.198642e-07     4.271884e-10     4.279891e-10     7.668648e-12     6.586810e-12     -1.583588e-11    3.726950e-12     -9.486326e-15    2.584119e-14     5.334073e-13     2.006334e-14     -7.611761e-18    1.758160e-17     1.400023e-20     2.054008e-20     -2.034450e-17    -8.344901e-18    5.941818e-17     -3.081112e-17    -4.446355e-15    -1.018825e-14    2.831284e-16     -2.999887e-14    -2.385306e-13    -5.745242e-14    3.038702e+04     -2.321298e-09    2.855239e+04     -3.253366e-09    -3.038699e+04    -4.288084e-09    
6.401250e-01     1.128713e-01     6.500000e-01     1.000000e+01     7.292481e-01     4.280960e-01     1.750942e-02     1.509471e-01     1.354417e-01     9.280019e-05     1.965751e+00     1.775442e-05     4.072251e-01     1.155251e-05     6.068386e-01     7.989169e-06     -8.739856e-07    1.591208e-07     1.072514e-13     4.975249e-12     -1.239696e-13    1.428016e-12     -2.136193e-14    1.372552e-13     -1.179906e-14    4.741874e-14     4.624893e-14     8.948245e-15     4.379460e-18     5.079922e-17     -1.226016e-17    3.160300e-17     -1.176821e-20    1.595769e-20     -1.847335e-17    -1.839962e-17    2.700913e-14     -2.184883e-13    -5.048979e-13    -3.238458e-13    4.762684e-11     -6.353249e-11    3.038720e+04     -2.845413e-09    2.855261e+04     -4.016948e-09    -3.038718e+04    -5.152561e-09    
6.647452e-01     1.172125e-01     6.750000e-01     1.000000e+01     7.640885e-01     4.351087e-01     1.494496e-02     1.531967e-01     1.714343e-01     7.118726e-05     2.004077e+00     2.203908e-05     6.122333e-01     1.056231e-05     4.129514e-01     1.000943e-05     6.411502e-07     1.339110e-07     5.872000e-10     4.789702e-11     -3.502377e-13    3.100162e-13     -1.527984e-12    6.770874e-14     -9.543045e-15    2.489298e-14     -6.908863e-18    1.082321e-17     1.741394e-20     4.259378e-21     4.698915e-17     -3.707506e-17    1.099622e-16     -1.577609e-16    2.379872e-14     -7.246009e-15    -7.437471e-15    -1.106410e-14    -6.843045e-14    -8.049984e-14    2.789508e-12     -5.248123e-12    3.038740e+04     -3.494100e-09    2.855283e+04     -4.924481e-09    -3.038737e+04    -6.169480e-09    
6.893654e-01     1.215537e-01     7.000000e-01     1.000000e+01     7.993349e-01     4.421227e-01     1.292674e-02     1.556012e-01     2.071812e-01     4.995195e-05     2.042426e+00     2.679558e-05     6.175977e-01     1.306833e-05     4.180362e-01     8.310075e-06     8.438116e-07     9.467623e-08     9.714595e-12     2.397407e-11     7.858022e-14     1.183448e-12     6.852569e-14     4.296966e-14     -2.027659e-15    8.392344e-15     -1.517399e-17    3.021202e-18     -1.940990e-19    -9.357267e-20    -4.667521e-17    -7.645125e-18    7.307825e-17     -1.976309e-17    2.873594e-15     -2.306858e-15    -1.149050e-13    -9.576379e-14    2.042535e-13     -9.792438e-14    -5.164861e-11    -1.494233e-10    3.038761e+04     -4.232419e-09    2.855306e+04     -5.971230e-09    -3.038758e+04    -7.319664e-09    
7.139856e-01     1.258949e-01     7.250000e-01     1.000000e+01     8.349732e-01     4.491501e-01     1.134442e-02     1.579714e-01     2.428767e-01     3.271194e-05     2.080795e+00     3.196435e-05     6.229072e-01     1.534754e-05     4.224578e-01     6.520010e-06     8.778963e-07     2.853614e-07     -3.421370e-12    3.366723e-12     -5.047829e-13    7.241329e-13     1.821529e-14     3.534732e-14     3.518537e-17     1.038911e-17     -1.178117e-18    5.636450e-18     1.686996e-20     -2.632393e-20    1.574614e-16     -7.486364e-17    6.863354e-15     -7.949239e-16    -1.142503e-14    -4.137358e-15    -5.203516e-14    -5.393861e-14    3.513910e-13     -1.370885e-12    8.253121e-11     -1.724130e-10    3.038782e+04     -5.096525e-09    2.855330e+04     -7.178591e-09    -3.038779e+04    -8.657736e-09    
7.386058e-01     1.302361e-01     7.500000e-01     1.000000e+01     8.709872e-01     4.561993e-01     1.008961e-02     1.602241e-01     2.119182e+00     3.744724e-05     2.787946e-01     1.951531e-05     6.281424e-01     1.727129e-05     4.261292e-01     4.686019e-06     -9.900674e-07    3.328358e-08     3.330156e-12     2.091254e-11     -4.010416e-13    5.572214e-13     1.706408e-12     2.621253e-13     -2.446019e-14    1.257725e-14     -6.716012e-19    2.451941e-18     4.165834e-19     4.640280e-20     9.340582e-18     -6.748087e-18    -1.221357e-16    -6.890550e-17    -5.080641e-16    -3.581825e-15    6.743972e-15     -3.745006e-15    2.984569e-14     -8.021772e-14    -6.582598e-11    -6.317414e-11    3.038804e+04     -6.094623e-09    2.855355e+04     -8.610043e-09    -3.038801e+04    -1.016362e-08    
7.632260e-01     1.345773e-01     7.750000e-01     1.000000e+01     9.073596e-01     4.632746e-01     9.078102e-03     1.623293e-01     2.157584e+00     4.310010e-05     6.332862e-01     1.874986e-05     3.153367e-01     9.613551e-06     4.288012e-01     2.844074e-06     7.079108e-07     5.172929e-08     -2.024405e-10    3.003291e-10     3.704632e-12     9.535209e-12     1.928439e-13     8.282712e-14     -1.292703e-15    3.465533e-17     9.565231e-18     5.140556e-18     3.587612e-20     2.750486e-20     -2.974913e-17    -1.874177e-17    1.099924e-16     -1.899634e-17    4.402093e-15     -8.212308e-15    -3.042078e-14    -2.020489e-14    -1.263455e-12    -1.834095e-13    1.854005e-13     -3.732688e-13    3.038826e+04     -7.236130e-09    2.855381e+04     -1.022541e-08    -3.038823e+04    -1.188851e-08    
